spearman,r2,rmse,mae,prediction_sd,observed_sd,sd_ratio,calibration_slope,calibration_intercept,noncognate_spearman,specificity_delta,cohort,target,mode,n_cells,n_donors,passes_hard_gate,passes_exploratory_gate
0.42116852312288894,0.07455722264067544,0.6988514394396791,0.5696999238354526,0.6099786067320752,0.7264572776302254,0.8396620496691629,0.5545435450529864,0.6016456087296143,-0.1951602723864613,0.6163287955093503,GSE199219,CD8A,observed,7147,6,True,True
-0.12702524654986602,-0.39377495280625796,0.857642722354519,0.6791138572681584,0.3789870663043178,0.7264572776302254,0.5216921599858021,-0.21838392775865786,1.5838324752384603,-0.01785614424459227,-0.10916910230527375,GSE199219,CD8A,label_shuffled,7147,6,False,False
0.23783649109734203,-0.35198899285291585,0.6934670356747483,0.5617436254501703,0.5008752538098238,0.5964022092829769,0.8398279651109941,0.2559242141134286,0.5593255778132056,0.18986296160284158,0.047973529494500455,GSE199219,CD4,observed,7147,6,False,False
-0.14189154768299175,-0.4404891125442829,0.7158041857377921,0.5781710097315943,0.32462428211265976,0.5964022092829769,0.5443042917344966,-0.2426055148835611,0.9595624126952893,-0.02774423735842174,-0.11414731032457001,GSE199219,CD4,label_shuffled,7147,6,False,False
-0.6219280705354481,-1.446832661888326,0.7290716645361062,0.6144534485818377,0.3476545726426103,0.4660881754273409,0.7458987182497331,-0.7973974081834124,1.4449473247658213,-0.5807591882813186,-0.04116888225412951,GSE199219,CD14,observed,7147,6,False,False
-0.4258289470873112,-0.754365440098864,0.6173452583618063,0.5115616931636879,0.259195583787412,0.4660881754273409,0.5561084735731905,-0.710163923662559,1.369415576049044,-0.4234827618900777,-0.002346185197233508,GSE199219,CD14,label_shuffled,7147,6,False,False
-0.4737558050098969,-1.2566950737653535,0.6980415816027922,0.5989405526273859,0.3477660577828187,0.4646702342537039,0.7484147512511915,-0.6161022505765811,1.0250904887607937,-0.2047261691450191,-0.2690296358648778,GSE199219,CD19,observed,7147,6,False,False
-0.44077022371534114,-0.7621293618751759,0.6168275279883373,0.511591581410693,0.25770025690687237,0.4646702342537039,0.5545873996443064,-0.7227229809179265,1.0835331026966875,0.1277987446787738,-0.568568968394115,GSE199219,CD19,label_shuffled,7147,6,False,False
-0.38849933666545505,-0.9072605126713038,0.3895500678761774,0.32274788385821146,0.1850873600669592,0.28207089443732,0.6561731951684513,-0.5513270988936395,0.5450779026932897,-0.5261406268922855,0.13764129022683042,GSE199219,CD56,observed,7147,6,False,False
-0.2263615622882544,-0.4720385779181162,0.3422298378873375,0.28087739214610685,0.14123315849409884,0.28207089443732,0.5007009276013155,-0.43047539354574776,0.49992138145249865,-0.22701421684701126,0.0006526545587568489,GSE199219,CD56,label_shuffled,7147,6,False,False
0.18611219883929023,-0.25851345698476313,0.46403887397966365,0.36055492508547743,0.28593034142221535,0.41364276491241986,0.691249468566808,0.22988085543797784,0.3724018565397206,0.17500828935326534,0.011103909486024882,GSE199219,HLA-DR,observed,7147,6,False,False
-0.18366702592319095,-0.4719009275881916,0.5018393614380402,0.3971143004585456,0.21691336233942157,0.41364276491241986,0.5243978155531099,-0.31975119964908333,0.6605230924014068,0.14753711935771585,-0.3312041452809068,GSE199219,HLA-DR,label_shuffled,7147,6,False,False
