feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD155,False,False,-0.07388739890009675,0.5500376651511675,7.4442688921134454,0.03598471441097465,0.48003285137624285,5.382305388457206,0.06900391523663084,0.3281278133216728,0.2062331756202912,0.0001069539445992
Hu.CD158,True,False,0.430435743181611,0.5436319292775446,1.2629804515285652,0.0075419227654218435,0.017536821144928355,1.9919655431968897,0.025538019784575507,0.0024509169557547,0.0032588085243982,0.0001720928902794
Hu.CD158b,True,False,0.9305206008604257,0.47938314488965245,0.5151773581867835,0.03038679041010537,0.032567482403602604,1.682806092125309,0.0215744370785296,0.0002753423284564,0.0281920305321745,0.0060981224803886
Hu.CD158e1,True,False,-0.3959360062327008,0.44825237869282086,1.1321334044809568,0.00903791169680196,0.022818104614739917,,,1.7187900146682416e-06,0.0035350612584021,0.0011563071258879
Hu.CD158f,False,False,-0.01926803167928448,0.5346940439071787,27.750319950015495,0.006195441296070292,0.3110606014193695,,,0.3462625043136351,0.2093366817806029,0.0038499752097323
Hu.CD15_W6D3,True,False,0.04525613990405572,0.5505874537061275,12.16602774503942,0.01018073636918196,0.22036533790854682,10.39538404106745,0.1332741543726596,1.6576935949743864e-05,0.0025049482923765,0.003379958049301
Hu.CD16,True,False,-0.7828032412663,0.1472129780660412,0.1880587231957579,0.012932535521193786,0.016496537365200837,,,0.0010882943014725,0.4313193404465784,0.0092970985739452
Hu.CD161,False,False,-0.11274294530040843,0.5442514375856606,4.827365793358327,0.031305784250725416,0.2850976967868562,,,0.2699653177083809,6.610185666596479e-05,0.0011118358488658
Hu.CD162,True,False,-0.782289945639906,0.14878160687477773,0.19018729270906806,0.012986866199896797,0.016576612815737062,,,2.712612877426341e-07,0.4283486339039129,0.0088348473087598
Hu.CD163,True,False,0.3477206780471677,0.5226758420800185,1.5031485760795578,0.00870159366625943,0.024956301420187205,2.915819361756305,0.03738229950969622,0.3452782526201635,0.2159111826612703,0.0019824090340282
Hu.CD164,True,False,0.21651858005388833,0.5561610782139764,2.5686528984050976,0.044487317700655,0.20207933876871476,3.930407893528942,0.05038984478883259,0.0144018958145121,0.008779820347544,0.0306624632830988
Hu.CD169,True,False,1.7104654937382788,0.35981909465440304,0.2103632584063456,0.013618407693321965,0.007967073927111755,1.3137401965438977,0.016842823032614074,0.2959682617913844,0.169780018580204,0.1039238303021431
Hu.CD171,True,False,0.4791114698310803,0.52517705827368,1.0961479558375862,0.024132118320636012,0.05063218915022309,2.0709296615825945,0.026550380276699932,0.3394594598759569,0.2010462182691796,0.0149461950303937
Hu.CD172a,True,False,-0.3494609835383106,0.47353512570199113,1.3550443340124079,0.011860967132167222,0.033848374339327976,,,0.3219575648454834,0.1684153824803812,0.0535449845929629
Hu.CD177,True,False,-0.5114963945809674,0.4112838563386717,0.804079678167834,0.010802818075762149,0.021092971188291322,,,0.0012594410710146,0.0386026828434901,0.0022383438131041
Hu.CD178,True,False,0.85737414661017,0.47092551024857243,0.5492648829107888,0.0042196900168977635,0.0049202279596464085,1.562369776886763,0.020030381754958502,0.3146137311635999,0.1614496915460938,0.0868524660225991
Hu.CD179a,True,False,0.9836916680622934,0.4648673141937264,0.47257421129675375,0.023302084505951025,0.02365021609967635,1.5750241972134758,0.020192617912993278,0.3407872487672219,0.2212937942428273,0.0035757169415133
Hu.CD18,True,False,-0.5750529231320973,0.3787345289100137,0.6586081274870997,0.02136541019727793,0.03724416424620033,,,0.0027307725486773,0.0356750011858379,0.0225069381198923
Hu.CD183,True,False,0.027058045872891255,0.5297827447013307,19.579490225940745,0.0500647844496613,1.5982676458279699,36.05605189934247,0.4622570756325958,0.2533585791103102,0.0063816975154101,0.0003639121170009
Hu.CD184,True,False,0.5324307443166875,0.5101481861315749,0.958149377317214,0.010199898309452343,0.019130241957289396,2.5475666132897357,0.03266111042679148,0.3229738417523132,0.173575371859596,0.0652514831629909
Hu.CD185,True,False,-0.24656209207058125,0.5151019461855944,2.0891368249671585,0.02293042906013976,0.09242233268557919,,,0.3436922389814397,0.211742856970904,0.0012976570621297
Hu.CD186,True,False,-0.39135635076895087,0.47457415832313987,1.2126394713939859,0.0030541691499895974,0.0078076334086524665,,,0.3461188590321163,0.2161535842457325,0.0012128721644793
Hu.CD19,True,False,-0.36850194975676215,0.4991299002926949,1.3544837432262071,0.031870200143819784,0.08658577522776917,,,0.0011924830179586,0.0062758297354403,9.81680284521376e-05
Hu.CD192,True,False,-0.12363632807223256,0.529157884085536,4.279954705354756,0.011052294578060647,0.08956289564348897,,,0.3222687586830906,0.1932834361598404,0.0562365397621767
Hu.CD193,True,False,-0.21686690307112452,0.4993349957875365,2.302495165081841,0.013479601526324799,0.061730273166600964,,,0.3433078853031294,0.1965611903757172,0.0143828484539014
Hu.CD194,True,False,-0.7856980366103391,0.1402665096448304,0.1785247042871185,0.013651816968110032,0.017348838661821242,,,1.3281515097895211e-06,0.482022256547904,0.0109374869227367
