cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE335494,CD21,0.08244749421223513,0.044060640959356204,0.00627333654477333,0.03629239308549527,0.34771094113366047,0.08012740540715266,0.025179616777477744,0.01437605074473679,10,126668
GSE335494,CD57,0.10301010630026133,0.06140604537245334,0.023502049536336063,0.0728208848119622,0.3761045678552093,0.09562788194252776,0.0839553008224712,0.08116561212182706,10,126668
GSE335494,CD16,0.4266637412898537,0.2540867002337017,0.12767882490164442,0.2949335491896819,0.4333065786724978,0.4030438371498887,0.2869895377687996,0.27897779901125486,10,126668
GSE335494,HLA-DR,0.8203652190747588,0.4859295232281514,0.3259860544310754,0.3545774365115715,0.7352053783716118,0.822378698676528,0.7099304909418468,0.6978878367452506,10,126668
GSE335494,CXCR5,0.7537608550334657,0.7872820391676933,0.6760298514935333,0.7662093915252174,0.24883995282147078,0.7723505122239434,0.6985316680586168,0.6746665348057705,10,126668
GSE335494,CD279_(PD-1),0.09031799602582243,0.03809558659034208,0.0021948565440881233,0.06972428312316131,0.20322936431639435,0.08518321155788583,0.049363319945539254,0.03919888832682325,10,126668
GSE335494,CCR4,0.7026180801888438,0.6775191529956859,0.6071057735658418,0.7104352932247687,0.3128471278851443,0.7902325911332118,0.6167621087058541,0.4004692777553817,10,126668
GSE335494,SLAMF7_(CD319),0.6792017714124191,0.6940999611665521,0.6277293208738404,0.713937427423459,0.23420105636432145,0.7168789752856494,0.5936950659566439,0.5293496112528291,10,126668
GSE335494,CD155,0.011897035500491962,0.0005736859910805234,-0.026177469013894387,-0.0024782227407138292,0.1852466588852869,0.008966300125701349,-0.005599177610981257,-0.018983901289227723,10,126668
GSE335494,CD79B,0.7853325817371118,0.8287940196193928,0.7122622889892515,0.7621999098308576,0.19038681440741997,0.8009412648143128,0.6912960273798204,0.6659421557942532,10,126668
GSE335494,CD107a,-0.020878923748009995,-0.0006527573490326933,-0.06922960415182224,-0.0033775188225297166,0.1924974702901345,-0.017516071393125984,-0.03409228412653829,-0.04760842743143389,10,126668
GSE335494,4-1BB,0.013549966219108943,-0.0019838004832351563,-0.03150572649655777,0.01856001620169671,0.08178359514629902,0.019180903062963703,0.0020751960567101583,-0.0004706471232135445,10,126668
GSE335494,LAG3,0.6756056129615745,0.7100206626130973,0.6317682542620742,0.7244475867115636,0.187864521997514,0.7087868453242749,0.5386611939338115,0.12505019237595558,10,126668
GSE335494,NKG2D_(CD314),0.3235122783942918,0.07979718153902618,0.026030944836518053,0.03871460308640872,0.4346371351933172,0.2823808477325654,0.20116563435989768,0.15570479433543852,10,126668
GSE335494,CD3,0.7299677890560813,0.36461143104073324,0.0608824911034259,0.269291099043202,0.7077319970817432,0.6877845356252215,0.6346264192734735,0.633252816608033,10,126668
GSE335494,CD45RO,0.057282788471648534,0.05876921515865952,-0.04054873555890258,0.0653402994571125,0.41065503273912213,0.025922266836289284,-0.03804594893461134,-0.07145575128632338,10,126668
GSE335494,CD19,0.7327689471428328,0.750424548669332,0.6392504848179406,0.6479659962122087,0.3552570135522788,0.7194679437105929,0.6251170151348844,0.4949648772374395,10,126668
GSE335494,CD123,0.25281195524190764,0.06818149061447357,0.04095557207730945,0.05468245720793048,0.4084982891626937,0.22546055809664342,0.08966976592363601,-0.0006374258769910763,10,126668
GSE335494,CD11B,0.36953125911436907,0.15822921535876816,-0.06713857999275964,0.06988488750350257,0.7569227403108336,0.32861350105202664,0.2770122161109644,0.2664909564217899,10,126668
GSE335494,CD103,-0.004029880997549123,-0.0015909583013913667,-0.07786046508225977,0.007519924748677984,0.1440310450443489,-0.019500095581210877,-0.030946598629153523,-0.031436137653817676,10,126668
GSE335494,CD303_(BDCA-2),0.06314093013818885,0.17592192212263413,0.022950444968466755,0.0507029370659905,0.12861998030743743,0.06101097228763136,0.03770029631164375,0.02787250682042136,10,126668
GSE335494,BDCA1-CD1c,0.1453619147389414,0.014993945693061277,-0.004514020771154027,0.07278863770477552,0.29978798761938197,0.1275211492066882,0.09838101237929917,0.07281003747433769,10,126668
GSE335494,CCR6,0.7468850767503977,0.7740624449378558,0.6715297794350205,0.7627343230928093,0.22853886675432983,0.7625070236804399,0.7208617417015497,0.696485933875897,10,126668
GSE335494,CD27,0.8252577202140114,0.7927918172716969,0.7236847334694664,0.7019999736551825,0.5813956222813713,0.8685207883082326,0.6577683123160885,0.6064588988994977,10,126668
GSE335494,CXCR3,0.7856480745001263,0.8213026708236388,0.7531140875156241,0.8201850850349016,0.22239755791822105,0.7129230135315363,0.46184647586080124,-0.40267995075260815,10,126668
GSE335494,CD40L_(CD154),-0.03944065288446141,-0.022220012507884256,-0.05802869633075355,-0.011260907805628608,0.26926692560974735,-0.0381817294740352,-0.0811677127340305,-0.08963018906947168,10,126668
GSE335494,CD141_(Thrombomodulin),0.3526169455894943,0.1066774466777774,0.0323610120144147,0.1112351389603749,0.34999411180346374,0.3442864022645379,0.16665950054490325,0.12275755236706515,10,126668
GSE335494,CD161,0.38080045619053327,0.10436002078876613,0.04707396310361393,0.1697998427633199,0.3914617070342519,0.40262463006155275,0.2010801456927681,0.1290574684176223,10,126668
GSE335494,CD69,0.7805116481094556,0.7508335414136811,0.5468708763817964,0.5411347155270873,0.476457725454781,0.8566711125425952,0.6219601793535344,0.3936516224398886,10,126668
GSE335494,CD127,0.5306454295359636,0.20880426672139726,0.13145036043132097,0.1877677174085829,0.4807800654933604,0.48937989692897127,0.3341254504105831,0.2712758680349853,10,126668
GSE335494,CD274_(B7-H1+PD-L1),0.7215671589284848,0.759799667077543,0.5994242878826648,0.736031587457504,0.15489871316737105,0.7089229109235184,0.6368946021189995,0.571977997112886,10,126668
GSE335494,CD33,0.903203253914952,0.7803899659211049,0.7080999649739665,0.47371137228609034,0.6839838079404292,0.9161676464445052,0.7916054159025986,0.7819693010617409,10,126668
GSE335494,CD11C,0.726403129916628,0.3611957010736413,0.0827795326107733,0.19268043884302063,0.730704928874325,0.6999806871835783,0.5422966805821244,0.5366422669194013,10,126668
GSE335494,CD45RA,0.13685974832606684,0.05966547622013027,-0.15058962989668978,0.02211387642033976,0.5197069418995988,0.12219274648507922,-0.011768139073182336,-0.011832890896151483,10,126668
GSE335494,CD244_(2B4),0.7042087829467651,0.6957483922624745,0.3578760102976218,0.5046450038277365,0.5701891115793987,0.8081695317591024,0.42400596137311586,0.15217553026726446,10,126668
GSE335494,CD226_(DNAM-1),0.7571842082516614,0.7614470222057895,0.6459722637975366,0.6726766078793833,0.37026747800008225,0.8460504917009688,0.5421522413377216,0.2778429507784552,10,126668
GSE335494,CD28,0.8042762700059813,0.7373360753708981,0.70890814781902,0.6521361902489614,0.5872798709374732,0.8685619816812715,0.6826684692265087,0.47651121887928904,10,126668
GSE335494,CD45,0.23067837370001895,0.1759653258120971,0.0750255797867622,0.14159991276008418,0.3153265541896467,0.23380578489406062,0.048125202386119906,-0.050126391145236794,10,126668
GSE335494,CD38,0.8576128981604976,0.7953594411730063,0.5623273053828532,0.637184332883146,0.5359600245898961,0.9191978745078585,0.6516114692092987,0.4638296052471896,10,126668
GSE335494,CD4,0.8900120549068812,0.7973588035745864,0.4892582173630159,0.5635298887322038,0.7086759444221565,0.9333672084483239,0.7298685139099252,0.5534165775599584,10,126668
GSE335494,CD20,0.44058322758023755,0.1596910634413219,0.018216265119478086,0.0985513854530831,0.31665077889605425,0.350054133031913,0.0074605892480802995,-0.0188921292729964,10,126668
GSE335494,TIGIT,0.6267008499661906,0.6275806873931625,0.512861214094131,0.6838652204670672,0.3561133617246271,0.7350736395894859,0.5607830137277503,0.3817930867601383,10,126668
GSE335494,CD25,0.10853933092293498,0.05698856829631799,0.011476150455459227,0.09929492144943758,0.1495085627687121,0.10903692250243469,0.06458836677656468,0.05213234903461635,10,126668
