spearman,r2,rmse,mae,prediction_sd,observed_sd,sd_ratio,calibration_slope,calibration_intercept,cohort,held_out_donor,target,n_cells,noncognate_spearman,specificity_delta,passes_hard_gate,passes_exploratory_gate
0.518269141909456,0.24513281073236215,0.9422823737485748,0.8309575880508638,0.3258366476726678,1.084540545809023,0.30043749764063177,2.2731735637612034,-2.2972925064572465,GSE199219,CID3838,CD8A,1635,-0.02523417837271396,0.54350332028217,False,False
0.4644552637209892,-3.5389725341609966,0.6760850472154855,0.5695552158412498,0.6715029238424084,0.31733834575042535,2.1160472184805554,0.22798853634512023,1.411865419637098,GSE199219,CID4040,CD8A,1957,-0.010342115519766876,0.4747973792407561,False,False
0.6426613597293482,-0.3565125777559299,0.6027088608136546,0.47251612575537244,0.6959972637466907,0.5174824955805022,1.344967742272971,0.4452000980000717,0.7327443483873747,GSE199219,CID4497,CD8A,352,-0.01327139203702773,0.655932751766376,False,False
0.5967645677893793,0.2228430005897294,0.7699813908737295,0.6615123497385472,0.5280431833945564,0.8734254609409768,0.6045658238834416,1.187822391938193,-0.687664622525681,GSE199219,CID4513,CD8A,661,0.0692067814387041,0.5275577863506752,True,True
0.5765067723428166,0.11595397934306728,0.3879436624809462,0.3027417298367333,0.49996004547066747,0.41260190114910567,1.2117250164826372,0.5526144525758496,0.4854038291806222,GSE199219,CID4660,CD8A,319,0.041831632476330115,0.5346751398664864,True,True
0.41768577136354607,-0.7192772897883393,0.5092688610248275,0.40407116083063566,0.5246170606954675,0.38839547275320946,1.3507290828511143,0.39075003323663055,0.7657448439375942,GSE199219,CID4664,CD8A,2223,0.010905292682624758,0.4067804786809213,False,False
0.5340221638246092,-0.4563727069951449,0.7782634638674105,0.6474684132302013,0.2932788195502858,0.6448970301072926,0.4547684449740643,1.2446428885714373,0.46059080746232817,GSE199219,CID3838,CD4,1635,0.012749206853036753,0.5212729569715725,False,False
0.3313348921224849,-9.559201998137475,0.789309676994407,0.6732320870378535,0.4841922567604896,0.24290244050685356,1.9933610207873889,0.16518678413738971,0.12666935345238692,GSE199219,CID4040,CD4,1957,0.005285387293649216,0.3260495048288357,False,False
0.4921366154006171,-1.3237391126809595,0.5889527766644412,0.4964125027922135,0.37472224350732897,0.3863552247284891,0.969890451903853,0.5108653026222224,0.6050738064370869,GSE199219,CID4497,CD4,352,0.021494086649894013,0.4706425287507231,False,False
0.6940627920866415,0.15148217327902525,0.9185838516021952,0.7797158051913544,0.3399220899024447,0.9972138942341022,0.3408717947753001,2.1481633777725535,-0.5035535420323223,GSE199219,CID4513,CD4,661,-0.06841657338395161,0.762479365470593,False,False
0.5124340370011508,-0.23937782156820764,0.34653800504555754,0.2758662482136047,0.36730853879467235,0.31127841812967166,1.1800000173531457,0.4156833926766387,0.48267954314972583,GSE199219,CID4660,CD4,319,0.006174218350222784,0.506259818650928,False,False
0.48672141018887943,-1.2985025259267995,0.47863646603093435,0.3871007466187242,0.46262123219109524,0.315706330647468,1.4653530426277042,0.32977533206895515,0.5041869599313022,GSE199219,CID4664,CD4,2223,-0.0443076748371046,0.531029085025984,False,False
0.0010033729113818957,-8.242543627604467,0.9228056956525917,0.8616006355500554,0.15227109607022837,0.3035390088886719,0.5016524783016485,0.037561664217838776,0.35856833922099407,GSE199219,CID3838,CD14,1635,0.011935934623617547,-0.010932561712235651,False,False
