source_cohort,held_out_donor,training_donors,n_training_cells,n_test_cells,target,model,scaler,seed,top_variable_genes,locked_genes,selected_features_ref,scaler_scale_ref,fold_seed,prediction_file,spearman,pearson,rmse,calibration_slope
GSE199219,CID4664,CID3838;CID4040;CID4497;CID4513;CID4660,4924,2223,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID4664,GSE199219::CID4664,20260824,B2_oof_predictions_GSE199219.npy,0.12919515293732733,0.21143383232649232,0.6584184013824258,0.1222952040604258
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.42868739059138705,0.4869370819669785,1.5063811321470462,0.827376424175959
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,-0.03489631425176231,0.013551300091412392,1.3197737951580075,0.01955940722047499
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.06230663382554819,0.04559276600740766,1.204777854901572,0.059977170029705824
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.016482640852138523,0.036584741079763165,1.1124315074322448,0.04647736306760616
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.13813162125624212,0.22258435774667754,1.2569805501271976,0.21816011000842653
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.12344999422960891,0.14077742530056972,1.3138610654169354,0.22895241304010955
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.3363773617101006,0.37063450238873924,0.8713785454625899,0.4590630311637213
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,0.041248978473687144,0.017675977519200567,1.200750914447374,0.023310234835444886
GSE267552,BC07,BC08;BC09;BC10;BC12,2934,831,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE267552::BC07,GSE267552::BC07,20260819,B2_oof_predictions_GSE267552.npy,-0.009235292804547107,-0.006639200790216762,1.285072887167305,-0.00899501689941308
