spearman,r2,rmse,prediction_observed_sd_ratio,calibration_slope,source,target,control,n_cells,n_participants,participant_id
0.0951393169657387,-0.43871450424194336,1.0477332397664139,0.09847264552540905,1.4582752889568544,GSE334503,CD21,cognate,84177,17.0,
0.07364665180469782,-0.018086791038513184,0.9194110658937715,0.09439776259415683,1.2958626107393527,GSE334503,CD21,noncognate,84177,17.0,
0.13825614902432784,-0.15890860557556152,1.1389294916890969,0.10458712338756848,1.7587573667534164,GSE334503,CD21,cognate,5577,,HS10
0.09241353844065689,-0.28908538818359375,0.9286177114071519,0.08809129238508653,1.370607913637266,GSE334503,CD21,cognate,5436,,HS12
0.10504459178298647,-0.9452918767929077,1.1419793540738468,0.1370898655109394,1.3540253907323416,GSE334503,CD21,cognate,4385,,HS16
0.07395864142977443,-0.5874179601669312,1.0084800579310271,0.09634690661224488,1.450227601286991,GSE334503,CD21,cognate,6170,,HS22
0.07926037664163534,-0.7412948608398438,1.132119591677184,0.06998379339188623,1.8283637086236826,GSE334503,CD21,cognate,4705,,HS24
0.11320059863403313,-0.22597801685333252,0.9540420560523757,0.11242924271013745,1.5871329594875767,GSE334503,CD21,cognate,5100,,HS28
0.10754759322688379,-0.31036150455474854,1.035770507517403,0.10357476531008765,1.7222402048094536,GSE334503,CD21,cognate,5338,,HS30
0.04606694951632836,-0.40630459785461426,0.8943896785467238,0.0963335881529958,0.7950696430479839,GSE334503,CD21,cognate,4821,,HS32
0.09644142249070817,-0.34214282035827637,1.0126961953610845,0.09926067609258267,1.3345778332609546,GSE334503,CD21,cognate,4619,,HS46
0.10577897006918666,-0.1600184440612793,1.131463240447361,0.09008399314607984,1.419098520562889,GSE334503,CD21,cognate,4185,,HS47
0.09208731297598913,-0.6322333812713623,1.059131218421822,0.10302257750759179,1.2350395989825451,GSE334503,CD21,cognate,4761,,HS6
0.09737461622403042,-0.44992804527282715,0.9887349289855915,0.09548574060249818,1.4490733685336061,GSE334503,CD21,cognate,5350,,HS68
0.07451301406152509,-0.496295690536499,1.0686119101919962,0.07533163884414396,1.4633841616675403,GSE334503,CD21,cognate,4783,,HS75
0.08434624939922272,-0.8824454545974731,1.1932395462834604,0.08210471999842643,1.5509162079385486,GSE334503,CD21,cognate,4613,,HS86
0.06999478336205374,-0.8059580326080322,0.9548829236091959,0.10965038365599941,0.8976200258910659,GSE334503,CD21,cognate,5422,,HS88
0.13618726249909655,-0.3403433561325073,1.1283911879698785,0.11558554674421058,1.4450698225144483,GSE334503,CD21,cognate,3835,,HS93
0.07146458502852956,-0.7197580337524414,1.060650393665895,0.09663185704351548,1.6369605022934886,GSE334503,CD21,cognate,5077,,HS94
0.08109697300859509,-7.521096229553223,1.8056131606408712,0.16929854150271176,0.6942578401808452,GSE334503,CD57 Recombinant,cognate,84177,17.0,
-0.007161887876135874,-3.0863771438598633,1.765763944036912,0.11988553840128038,-0.08819987161590294,GSE334503,CD57 Recombinant,noncognate,84177,17.0,
0.08868991318998734,-7.818646430969238,1.793091879878178,0.18591335826847827,0.6732583245802003,GSE334503,CD57 Recombinant,cognate,5577,,HS10
0.07645948980026039,-7.004452705383301,1.4642449948168481,0.15859233199277667,0.7992139994917848,GSE334503,CD57 Recombinant,cognate,5436,,HS12
0.0907186942662105,-8.683350563049316,1.9012423544384522,0.16058692766627305,0.8101038956206381,GSE334503,CD57 Recombinant,cognate,4385,,HS16
0.05403860713436062,-15.573112487792969,1.816113979657203,0.1355494297958499,0.6036307633263883,GSE334503,CD57 Recombinant,cognate,6170,,HS22
0.08709288733404624,-11.519441604614258,1.874608889160602,0.17880195207464042,0.6815692077220987,GSE334503,CD57 Recombinant,cognate,4705,,HS24
0.07269741643741527,-4.488173007965088,1.6021464702069097,0.15357000607905386,0.5998984466893768,GSE334503,CD57 Recombinant,cognate,5100,,HS28
0.07802293236298544,-8.008623123168945,1.6126501590098872,0.18137388404792576,0.5758377292071546,GSE334503,CD57 Recombinant,cognate,5338,,HS30
0.11396855917837137,-3.575007438659668,1.9314302922013036,0.20327487439491237,0.6528055528499709,GSE334503,CD57 Recombinant,cognate,4821,,HS32
