"target","donor","n","spearman","analysis"
"CD56","HC01",541,0.046085949682693,"BC-to-CRLM"
"CD56","HC04",509,0.00914654872809282,"BC-to-CRLM"
"CD56","HC05",384,0.0573074579265387,"BC-to-CRLM"
"CD56","HC07",1074,0.175252948029772,"BC-to-CRLM"
"HLA-DR","HC01",541,0.212184925535414,"BC-to-CRLM"
"HLA-DR","HC04",509,0.148219371794633,"BC-to-CRLM"
"HLA-DR","HC05",384,0.296043393825648,"BC-to-CRLM"
"HLA-DR","HC07",1074,0.189046202788531,"BC-to-CRLM"
"PD-1","HC01",541,0.432111278598923,"BC-to-CRLM"
"PD-1","HC04",509,0.381884576920662,"BC-to-CRLM"
"PD-1","HC05",384,0.300825675629853,"BC-to-CRLM"
"PD-1","HC07",1074,0.608194562919601,"BC-to-CRLM"
"PD-L1","HC01",541,0.0388696012653287,"BC-to-CRLM"
"PD-L1","HC04",509,0.03787604450963,"BC-to-CRLM"
"PD-L1","HC05",384,-0.00288227893351047,"BC-to-CRLM"
"PD-L1","HC07",1074,-0.0118768486917295,"BC-to-CRLM"
"CTLA4","HC01",541,-0.0299878969214831,"BC-to-CRLM"
"CTLA4","HC04",509,-0.0548474835999712,"BC-to-CRLM"
"CTLA4","HC05",384,-0.0833349625380924,"BC-to-CRLM"
"CTLA4","HC07",1074,0.0889014431858263,"BC-to-CRLM"
"TIGIT","HC01",541,0.113546884082519,"BC-to-CRLM"
"TIGIT","HC04",509,0.0796706071627791,"BC-to-CRLM"
"TIGIT","HC05",384,-0.0216390284530843,"BC-to-CRLM"
"TIGIT","HC07",1074,0.0940594107119354,"BC-to-CRLM"
"CD103","HC01",541,0.298100386557883,"BC-to-CRLM"
"CD103","HC04",509,0.392047186294793,"BC-to-CRLM"
"CD103","HC05",384,0.481046998615957,"BC-to-CRLM"
"CD103","HC07",1074,0.701888446448225,"BC-to-CRLM"
"CD8A","P01",8790,0.63119973166214,"BC-to-DLBCL"
"CD8A","P02",17696,0.643630895989143,"BC-to-DLBCL"
"CD8A","P03",6896,0.600363421598291,"BC-to-DLBCL"
"CD8A","P04",11647,0.663890328574133,"BC-to-DLBCL"
"CD8A","P05",9453,0.498604003426269,"BC-to-DLBCL"
"CD8A","P06",12024,0.447171151551871,"BC-to-DLBCL"
"CD8A","P07",12342,0.805183666584432,"BC-to-DLBCL"
"CD4","P01",8790,0.629453799927742,"BC-to-DLBCL"
"CD4","P02",17696,0.614474569668173,"BC-to-DLBCL"
"CD4","P03",6896,0.602978299175392,"BC-to-DLBCL"
"CD4","P04",11647,0.72315871598732,"BC-to-DLBCL"
"CD4","P05",9453,0.628387174497877,"BC-to-DLBCL"
"CD4","P06",12024,0.360503178563835,"BC-to-DLBCL"
"CD4","P07",12342,0.74983861202397,"BC-to-DLBCL"
"PD-1","P01",8790,-0.0407583114559682,"BC-to-DLBCL"
"PD-1","P02",17696,0.0535421717004709,"BC-to-DLBCL"
"PD-1","P03",6896,-0.00393957961321759,"BC-to-DLBCL"
"PD-1","P04",11647,0.0721535950100839,"BC-to-DLBCL"
"PD-1","P05",9453,-0.0349255910386825,"BC-to-DLBCL"
"PD-1","P06",12024,0.0502246010308073,"BC-to-DLBCL"
"PD-1","P07",12342,0.26702427848388,"BC-to-DLBCL"
"TIGIT","P01",8790,0.132392474223892,"BC-to-DLBCL"
"TIGIT","P02",17696,0.0860819046770481,"BC-to-DLBCL"
"TIGIT","P03",6896,0.120185147860709,"BC-to-DLBCL"
"TIGIT","P04",11647,-0.0658434043610891,"BC-to-DLBCL"
"TIGIT","P05",9453,0.164941274982605,"BC-to-DLBCL"
"TIGIT","P06",12024,0.0532924553229823,"BC-to-DLBCL"
"TIGIT","P07",12342,0.0617997910410546,"BC-to-DLBCL"
"CD103","P01",8790,0.0860710252180746,"BC-to-DLBCL"
"CD103","P02",17696,-0.150962814034467,"BC-to-DLBCL"
"CD103","P03",6896,0.190352863558361,"BC-to-DLBCL"
"CD103","P04",11647,0.0677637108971195,"BC-to-DLBCL"
"CD103","P05",9453,-0.323133009918699,"BC-to-DLBCL"
"CD103","P06",12024,-0.14153586625501,"BC-to-DLBCL"
"CD103","P07",12342,-0.332979753032746,"BC-to-DLBCL"
"CD8A","PT7",16558,0.528109740677033,"BC-to-HCC"
"CD8A","PT8",15805,0.733464931920384,"BC-to-HCC"
"CD4","PT7",16558,0.584617296660214,"BC-to-HCC"
"CD4","PT8",15805,0.581151209222252,"BC-to-HCC"
"CD14","PT7",16558,-0.00502025278872757,"BC-to-HCC"
"CD14","PT8",15805,-0.00737140715340903,"BC-to-HCC"
"CD19","PT7",16558,-0.0643373596297051,"BC-to-HCC"
"CD19","PT8",15805,-0.046128992990691,"BC-to-HCC"
"CD56","PT7",16558,0.121191104836887,"BC-to-HCC"
"CD56","PT8",15805,0.0329370435228265,"BC-to-HCC"
"HLA-DR","PT7",16558,0.248984342301176,"BC-to-HCC"
"HLA-DR","PT8",15805,0.165824160648147,"BC-to-HCC"
"PD-1","PT7",16558,0.121941646472802,"BC-to-HCC"
"PD-1","PT8",15805,0.0657754427888464,"BC-to-HCC"
"PD-L1","PT7",16558,0.0277187179975567,"BC-to-HCC"
"PD-L1","PT8",15805,0.00336437691022253,"BC-to-HCC"
"CTLA4","PT7",16558,-0.028357428925197,"BC-to-HCC"
"CTLA4","PT8",15805,-0.0225567520166652,"BC-to-HCC"
"TIGIT","PT7",16558,0.00634687100638386,"BC-to-HCC"
"TIGIT","PT8",15805,0.0404100482013589,"BC-to-HCC"
"CD103","PT7",16558,0.0156996451950446,"BC-to-HCC"
"CD103","PT8",15805,0.0026841904541205,"BC-to-HCC"
