"analysis","target","observed_pooled_spearman","shuffled_pooled_spearman","delta_observed_minus_shuffled","observed_donor_median","shuffled_donor_median","observed_directional_flag","shuffled_directional_flag","superiority_gate"
"BTC-to-BC (partial)","CD56",-0.0472040892309378,-0.0538652959263092,0.0066612066953714,-0.0074200996643359,-0.0002117078272458,"False","False","False"
"BC-to-CRLM (sens.)","CD56",0.0708375630026421,-0.0207818271323561,0.0916193901349982,0.0516967038046158,-0.0529938065029963,"False","False","True"
"BC-to-NSCLC (full)","CD4",0.170990416891687,-0.0117724456588684,0.182762862550556,0.0994150411459353,-0.0363953979653948,"True","False","True"
"BC-to-NSCLC","CD4",0.170990424093776,-0.0117724365441319,0.182762860637908,0.0994151259052607,-0.0363953979653948,"True","False","True"
"NSCLC-to-BC","CD4",0.008290757462687,-0.03399627146084,0.042287028923527,0.0132490417867763,-0.0356863795487293,"False","False","True"
"BC-to-HCC","CD4",0.579947707124779,0.0411861714333293,0.53876153569145,0.582884252941233,0.022813076979016,"True","False","True"
"BC-to-BTC (partial)","CD4",-0.001951713239122,0.0959941491859319,-0.0979458624250539,0.0207851039462597,0.0807768597517666,"False","False","False"
"BTC-to-BC (partial)","CD4",-0.0427432800585755,0.178116818781101,-0.220860098839677,0.102724027955083,0.183973109788666,"False","True","False"
"BC-to-CRLM (sens.)","CD4",-0.0105621573308192,-0.0222421522074037,0.0116799948765845,-0.0034069342487934,-0.0094996018017185,"False","False","True"
"BC-to-DLBCL (partial)","CD4",0.640342648114989,-0.0102758898929787,0.650618538007967,0.628387174497877,-0.0144453685968662,"True","False","True"
"BC-to-NSCLC (full)","CD19",0.0506546375558738,0.0010278258560642,0.0496268116998096,0.0398916398295971,-0.0036472070295787,"False","False","True"
"BC-to-NSCLC","CD19",0.050654627799515,0.0010278356096133,0.0496267921899017,0.0398916398295971,-0.0036472750850142,"False","False","True"
"NSCLC-to-BC","CD19",0.0438831432155237,0.0343340176434986,0.0095491255720251,-0.006207031195831,-0.0014886292759542,"False","False","False"
"BC-to-HCC","CD19",-0.0553252152376262,-0.0138919524066392,-0.041433262830987,-0.055233176310198,-0.011214122874907,"False","False","False"
"BC-to-BTC (partial)","CD19",-0.0084217579156226,0.0449333073670418,-0.0533550652826644,0.0150048053474261,0.0123785217725432,"False","False","False"
"BTC-to-BC (partial)","CD19",-0.222547741909272,0.0804511391651668,-0.302998881074439,0.0453855012120045,0.0475486884528952,"False","False","False"
"BC-to-CRLM (sens.)","CD19",-0.0249570480064827,-0.0475871492565064,0.0226301012500237,-0.0163120133794774,-0.0381886759662118,"False","False","True"
"BC-to-NSCLC (full)","CD14",-0.0537329405708075,0.0036314546436932,-0.0573643952145007,-0.0314317051458744,0.0048548708531859,"False","False","False"
"BC-to-NSCLC","CD14",-0.0537329510731633,0.0036314382304092,-0.0573643893035725,-0.0314317051458744,0.0048548196053628,"False","False","False"
"NSCLC-to-BC","CD14",-0.0692333096752104,0.014793398044079,-0.0840267077192894,0.008795136147841,0.0170255963517953,"False","False","False"
"BC-to-HCC","CD14",-0.0075000992493604,0.0045300262212542,-0.0120301254706146,-0.0061958299710683,0.0028666586223264,"False","False","False"
"BC-to-BTC (partial)","CD14",-0.0170951929904218,0.14767715255391,-0.164772345544331,-0.0503024611230949,0.135269026811189,"False","True","False"
"BTC-to-BC (partial)","CD14",0.102448123128491,-0.0493917044572208,0.151839827585712,0.0152391222335355,-0.0130220110926261,"False","False","True"
"BC-to-CRLM (sens.)","CD14",-0.0306244294685428,0.0063669781662027,-0.0369914076347455,-0.026184579064184,0.0104912854532711,"False","False","False"
"BC-to-NSCLC (full)","CD103",0.0229261675491011,-0.0126332925822732,0.0355594601313743,-0.0141566729300682,-0.0184405435700966,"False","False","True"
"NSCLC-to-BC","CD103",0.0235043416038928,0.0045764921670136,0.0189278494368792,0.0390628210079168,-0.0016753511797841,"False","False","True"
