replicate,null,targets_passing_both_sources,fraction_passing_both_sources
95,NullB,4,0.09302325581395349
96,NullA,0,0.0
96,NullB,4,0.09302325581395349
97,NullA,0,0.0
97,NullB,5,0.11627906976744186
98,NullA,0,0.0
98,NullB,5,0.11627906976744186
99,NullA,0,0.0
99,NullB,4,0.09302325581395349
100,NullA,0,0.0
100,NullB,5,0.11627906976744186
101,NullA,0,0.0
101,NullB,3,0.06976744186046512
102,NullA,0,0.0
102,NullB,4,0.09302325581395349
103,NullA,0,0.0
103,NullB,5,0.11627906976744186
104,NullA,0,0.0
104,NullB,5,0.11627906976744186
105,NullA,0,0.0
105,NullB,4,0.09302325581395349
106,NullA,0,0.0
106,NullB,5,0.11627906976744186
107,NullA,0,0.0
107,NullB,5,0.11627906976744186
108,NullA,0,0.0
108,NullB,5,0.11627906976744186
109,NullA,0,0.0
109,NullB,5,0.11627906976744186
110,NullA,0,0.0
110,NullB,4,0.09302325581395349
111,NullA,0,0.0
111,NullB,5,0.11627906976744186
112,NullA,0,0.0
112,NullB,5,0.11627906976744186
113,NullA,0,0.0
113,NullB,5,0.11627906976744186
114,NullA,0,0.0
114,NullB,5,0.11627906976744186
115,NullA,0,0.0
115,NullB,5,0.11627906976744186
116,NullA,0,0.0
116,NullB,5,0.11627906976744186
117,NullA,0,0.0
117,NullB,5,0.11627906976744186
118,NullA,0,0.0
118,NullB,5,0.11627906976744186
119,NullA,0,0.0
119,NullB,5,0.11627906976744186
120,NullA,0,0.0
120,NullB,5,0.11627906976744186
121,NullA,0,0.0
121,NullB,5,0.11627906976744186
122,NullA,0,0.0
122,NullB,5,0.11627906976744186
123,NullA,0,0.0
123,NullB,4,0.09302325581395349
124,NullA,0,0.0
124,NullB,5,0.11627906976744186
125,NullA,0,0.0
125,NullB,5,0.11627906976744186
126,NullA,0,0.0
126,NullB,5,0.11627906976744186
127,NullA,0,0.0
127,NullB,5,0.11627906976744186
128,NullA,0,0.0
128,NullB,4,0.09302325581395349
129,NullA,0,0.0
129,NullB,5,0.11627906976744186
130,NullA,0,0.0
130,NullB,5,0.11627906976744186
131,NullA,0,0.0
131,NullB,5,0.11627906976744186
132,NullA,0,0.0
132,NullB,4,0.09302325581395349
133,NullA,0,0.0
133,NullB,5,0.11627906976744186
134,NullA,0,0.0
134,NullB,3,0.06976744186046512
135,NullA,0,0.0
135,NullB,5,0.11627906976744186
136,NullA,0,0.0
136,NullB,5,0.11627906976744186
137,NullA,0,0.0
137,NullB,5,0.11627906976744186
138,NullA,0,0.0
138,NullB,4,0.09302325581395349
139,NullA,0,0.0
139,NullB,5,0.11627906976744186
140,NullA,0,0.0
140,NullB,5,0.11627906976744186
141,NullA,0,0.0
141,NullB,5,0.11627906976744186
142,NullA,0,0.0
142,NullB,4,0.09302325581395349
143,NullA,0,0.0
143,NullB,5,0.11627906976744186
144,NullA,0,0.0
144,NullB,5,0.11627906976744186
145,NullA,0,0.0
145,NullB,4,0.09302325581395349
146,NullA,0,0.0
146,NullB,5,0.11627906976744186
147,NullA,0,0.0
147,NullB,5,0.11627906976744186
148,NullA,0,0.0
148,NullB,4,0.09302325581395349
149,NullA,0,0.0
149,NullB,4,0.09302325581395349
150,NullA,0,0.0
150,NullB,5,0.11627906976744186
151,NullA,0,0.0
151,NullB,5,0.11627906976744186
152,NullA,0,0.0
152,NullB,5,0.11627906976744186
153,NullA,0,0.0
153,NullB,5,0.11627906976744186
154,NullA,0,0.0
154,NullB,5,0.11627906976744186
155,NullA,0,0.0
155,NullB,5,0.11627906976744186
156,NullA,0,0.0
156,NullB,4,0.09302325581395349
157,NullA,0,0.0
157,NullB,5,0.11627906976744186
158,NullA,0,0.0
158,NullB,5,0.11627906976744186
159,NullA,0,0.0
159,NullB,3,0.06976744186046512
160,NullA,0,0.0
160,NullB,5,0.11627906976744186
161,NullA,0,0.0
161,NullB,4,0.09302325581395349
162,NullA,0,0.0
162,NullB,5,0.11627906976744186
163,NullA,0,0.0
163,NullB,4,0.09302325581395349
164,NullA,0,0.0
164,NullB,5,0.11627906976744186
165,NullA,0,0.0
165,NullB,2,0.046511627906976744
166,NullA,0,0.0
166,NullB,5,0.11627906976744186
167,NullA,0,0.0
167,NullB,5,0.11627906976744186
168,NullA,0,0.0
168,NullB,5,0.11627906976744186
169,NullA,0,0.0
169,NullB,5,0.11627906976744186
170,NullA,0,0.0
170,NullB,5,0.11627906976744186
171,NullA,0,0.0
171,NullB,5,0.11627906976744186
172,NullA,0,0.0
172,NullB,5,0.11627906976744186
173,NullA,0,0.0
173,NullB,5,0.11627906976744186
174,NullA,0,0.0
174,NullB,5,0.11627906976744186
175,NullA,0,0.0
175,NullB,5,0.11627906976744186
176,NullA,0,0.0
176,NullB,4,0.09302325581395349
177,NullA,0,0.0
177,NullB,5,0.11627906976744186
178,NullA,0,0.0
178,NullB,4,0.09302325581395349
179,NullA,0,0.0
179,NullB,5,0.11627906976744186
180,NullA,0,0.0
180,NullB,5,0.11627906976744186
181,NullA,0,0.0
181,NullB,5,0.11627906976744186
182,NullA,0,0.0
182,NullB,5,0.11627906976744186
183,NullA,0,0.0
183,NullB,5,0.11627906976744186
184,NullA,0,0.0
184,NullB,5,0.11627906976744186
185,NullA,0,0.0
185,NullB,5,0.11627906976744186
186,NullA,0,0.0
186,NullB,5,0.11627906976744186
187,NullA,0,0.0
187,NullB,4,0.09302325581395349
188,NullA,0,0.0
188,NullB,5,0.11627906976744186
189,NullA,0,0.0
189,NullB,5,0.11627906976744186
190,NullA,0,0.0
190,NullB,5,0.11627906976744186
191,NullA,0,0.0
191,NullB,4,0.09302325581395349
192,NullA,0,0.0
192,NullB,5,0.11627906976744186
193,NullA,0,0.0
193,NullB,5,0.11627906976744186
194,NullA,0,0.0
194,NullB,5,0.11627906976744186
195,NullA,0,0.0
195,NullB,5,0.11627906976744186
196,NullA,0,0.0
196,NullB,4,0.09302325581395349
197,NullA,0,0.0
197,NullB,5,0.11627906976744186
198,NullA,0,0.0
198,NullB,5,0.11627906976744186
199,NullA,0,0.0
199,NullB,5,0.11627906976744186
