replicate,source,target,analysis_role,null,spearman,noncognate_spearman,specificity_delta,r2,calibration_slope,sd_ratio,complete_gate_pass
0,GSE334503,CD21,primary_direct,NullA,0.009463115433483655,0.002314612334254191,0.007148503099229464,-0.46556639671325684,0.07370005160151812,0.09847263880598156,False
0,GSE334503,CD21,primary_direct,NullB,0.0951393169657387,0.06857648293547908,0.02656283403025962,-0.43871450424194336,1.4582752889568544,0.09847264552540905,False
0,GSE334503,CD57 Recombinant,sensitivity_non_direct,NullA,-0.005110790703044021,0.003946394691683673,-0.009057185394727694,-7.562112808227539,-0.02124079016466542,0.16929854150271176,False
0,GSE334503,CD57 Recombinant,sensitivity_non_direct,NullB,0.08109697300859509,0.002144143920772031,0.07895282908782306,-7.521096229553223,0.6942578401808452,0.16929854150271176,False
0,GSE334503,CD16,sensitivity_non_direct,NullA,0.012759565211935794,0.0045863415581420906,0.008173223653793703,-0.10966765880584717,0.05026579752758173,0.3289077264545692,False
0,GSE334503,CD16,sensitivity_non_direct,NullB,0.49997051168375095,0.044299086268842255,0.4556714254149087,0.19704222679138184,1.4678532918405873,0.32890776296500873,True
0,GSE334503,HLA-DR,sensitivity_non_direct,NullA,0.005566618568946391,0.004466186624456348,0.0011004319444900424,-0.2915126085281372,0.001805352244369025,0.5407909818341161,False
0,GSE334503,HLA-DR,sensitivity_non_direct,NullB,0.7066010455474249,-0.07658129686185611,0.783182342409281,0.2668529152870178,0.9564237091163783,0.5407909818341161,True
0,GSE334503,CD185 (CXCR5),primary_direct,NullA,0.004515706951540408,-0.0004117914389592043,0.004927498390499612,-0.03987228870391846,0.03831424319283039,0.19639309022800408,False
0,GSE334503,CD185 (CXCR5),primary_direct,NullB,0.21788655117062639,-0.0460439845844252,0.2639305357550516,0.046869099140167236,1.1627753772640623,0.19639309022800408,True
0,GSE334503,CD279,primary_direct,NullA,8.981054213674923e-05,-0.0007620462061654433,0.0008518567483021925,-0.7279014587402344,-0.0011182097205902214,0.41132773425640845,False
0,GSE334503,CD279,primary_direct,NullB,0.17019160407448355,-0.0029201893505723495,0.1731117934250559,-0.5475171804428101,0.5319624829224727,0.41132773425640845,False
0,GSE334503,CD194 (CCR4),primary_direct,NullA,0.001057406419914321,-0.0007351565673779869,0.001792562987292308,-0.2297518253326416,-0.005100373683864862,0.2775063421615988,False
0,GSE334503,CD194 (CCR4),primary_direct,NullB,0.23865951259285087,-0.18676212597102315,0.42542163856387405,-0.052770376205444336,1.1439834580751553,0.2775063421615988,False
0,GSE334503,CD319 (CRACC),primary_direct,NullA,0.01476221221293045,0.0037188123997294095,0.01104339981320104,-0.14412283897399902,0.07765753652708857,0.15002241911424605,False
0,GSE334503,CD319 (CRACC),primary_direct,NullB,0.1159461127849981,0.1468239768225701,-0.030877864037571992,-0.11524307727813721,0.7192349309229842,0.15002241911424605,False
0,GSE334503,CD155 (PVR),primary_direct,NullA,0.0013180626864799135,-0.0003250785268176889,0.0016431412132976025,-0.06217062473297119,0.013226545568892977,0.1815492874045863,False
0,GSE334503,CD155 (PVR),primary_direct,NullB,0.12150445742502165,-0.10650780558212108,0.22801226300714272,-0.016959786415100098,0.699067837011138,0.1815492874045863,False
0,GSE334503,CD79b (Igβ),primary_direct,NullA,0.006602594276488332,0.0030028946288347454,0.0035996996476535866,-1.1208744049072266,0.027754077559129973,0.3812642035438467,False
0,GSE334503,CD79b (Igβ),primary_direct,NullB,0.1987160933599691,-0.1327269351415098,0.3314430285014789,-0.9165810346603394,0.7304571465753934,0.3812642035438467,False
0,GSE334503,CD107a (LAMP-1),primary_direct,NullA,0.0010526182103823471,0.002103119790717325,-0.001050501580334978,-0.04040229320526123,0.09188061358113006,0.022437233341458425,False
0,GSE334503,CD107a (LAMP-1),primary_direct,NullB,0.024825122023110685,0.051777762894180505,-0.02695264087106982,-0.03912198543548584,1.363517689368294,0.022437233341458425,False
0,GSE334503,CD137 (4-1BB),primary_direct,NullA,-0.0004008549084875641,-0.001811989734059186,0.001411134825571622,-0.23058688640594482,0.015099072358093728,0.036198697260250046,False
0,GSE334503,CD137 (4-1BB),primary_direct,NullB,0.025180357195233132,-0.0022248889016208443,0.027405246096853977,-0.22842645645141602,0.8394462654964562,0.036198697260250046,False
0,GSE334503,CD223 (LAG-3),primary_direct,NullA,0.0069576707223025416,0.007228286255945166,-0.0002706155336426241,-2.9586234092712402,0.01902975500614937,0.13752523137652498,False
0,GSE334503,CD223 (LAG-3),primary_direct,NullB,0.05159687217533295,0.007558004003072619,0.04403886817226033,-2.942686080932617,0.4403522345481753,0.13752523137652498,False
0,GSE334503,CD314 (NKG2D),primary_direct,NullA,0.004987419707832641,0.004932173508649612,5.524619918302956e-05,-0.13440632820129395,0.033564754141859006,0.25398502705242104,False
0,GSE334503,CD314 (NKG2D),primary_direct,NullB,0.48204100795518123,0.0682185322691617,0.41382247568601954,0.06873774528503418,1.6081202032286024,0.25398502705242104,True
0,GSE334503,CD3,sensitivity_non_direct,NullA,0.01580110202921521,-0.0035340656372173204,0.01933516766643253,-0.10743212699890137,0.03799502610671899,0.3219124835638366,False
0,GSE334503,CD3,sensitivity_non_direct,NullB,0.6812711204321633,0.12552253233730343,0.5557485880948598,0.2937544584274292,1.9737075385715623,0.32191250995783355,True
0,GSE334503,CD45RO,sensitivity_non_direct,NullA,-0.0025948161429061116,0.006036076560754089,-0.0086308927036602,-0.054829955101013184,-0.1690421084130154,0.02686097809110039,False
0,GSE334503,CD45RO,sensitivity_non_direct,NullB,0.0040422203136221,0.005027596072108094,-0.0009853757584859946,-0.05428171157836914,0.2109823747491384,0.02686097809110039,False
0,GSE334503,CD19,primary_direct,NullA,0.0011825996257661296,-0.002819344605746513,0.004001944231512643,-0.22950661182403564,0.01926157661275215,0.34913124595830614,False
0,GSE334503,CD19,primary_direct,NullB,0.2896239547333032,-0.0745466731113512,0.3641706278446544,0.0981898307800293,1.3634624955022163,0.34913124595830614,True
0,GSE334503,CD123,primary_direct,NullA,0.004027175290520707,-0.0015058594117370193,0.005533034702257727,-0.0931929349899292,0.015536171391321185,0.3075392675932152,False
0,GSE334503,CD123,primary_direct,NullB,0.20075383564326302,-0.005204587857558188,0.20595842350082122,0.14557993412017822,1.2778094427812865,0.30753924023608636,True
0,GSE334503,CD11b,primary_direct,NullA,0.005729417651449333,0.007189851227997015,-0.0014604335765476817,-0.08178949356079102,0.015410248447596355,0.23944206308271773,False
