design,type,converged,bias_donor,rmse_donor,mc_se_bias_donor,bias_celltype,rmse_celltype,mc_se_bias_celltype,bias_conc,rmse_conc,mc_se_bias_conc,bias_rep,rmse_rep,mc_se_bias_rep,bias_day,rmse_day,mc_se_bias_day,bias_resid,rmse_resid,mc_se_bias_resid
D_confound,low_donor,342/500,0.2931474142276778,0.3678769302346628,0.009949575204727064,-0.2984716728595639,0.2984734243472571,4.577416882502064e-05,0.0,0.0,0.0,0.04675347250679147,0.15359181777334566,0.006549420463504398,0.0,0.0,0.0,0.29849634597585484,0.2988188751968895,0.0006213496413029829
D_confound,high_donor,392/500,0.06515505694363323,0.32201616299751196,0.01411726070000721,-0.004390164754419515,0.0044221781185395295,2.3777220078769776e-05,0.0,0.0,0.0,0.009737599536370944,0.09299858437414694,0.0041403038455645235,0.0,0.0,0.0,0.00488355166540526,0.0096619877585588,0.00037321366270780975
D_cross,low_donor,255/500,0.7247471357386084,0.7275663678903393,0.002864476968707635,-0.14402796435054868,0.18834030804909818,0.005432776856348354,0.0955605331939113,0.11298299213962514,0.002698378125105529,0.3322606425388972,0.3389381772325947,0.002996976902128151,0.0,0.0,0.0,0.3744894862863622,0.3755218646766688,0.0012456702658650413
D_cross,high_donor,288/500,0.16320340490009658,0.17641658902555338,0.0029988179075324515,0.12274883878023769,0.162190762121502,0.00474575348533833,0.07656660451463186,0.0886155606062663,0.001997128527169368,0.14507749238906975,0.15569449367926652,0.002529701941357787,0.0,0.0,0.0,0.08045816941520392,0.08579471178993521,0.001333411813760075
D_ideal,low_donor,319/500,0.3657834030958539,0.47426836727518124,0.01351411243496124,-0.2911378745649672,0.30365579907053186,0.003862771882877842,0.0,0.0,0.0,0.0613718716355851,0.22320471338772,0.009606886041778492,0.1743740984108401,0.21963684058042907,0.005978253098300005,0.3587005282648639,0.3595965321202537,0.0011356819174733262
D_ideal,high_donor,346/500,0.04233308268189439,0.15961371077491002,0.0068893991899414385,-0.00010231017494796557,0.05071104487035793,0.002270133525012546,0.0,0.0,0.0,-0.04792706919244918,0.1268134466757852,0.005255905409744468,0.11836231547906376,0.14752900735307437,0.003942261206068143,0.06829502957355751,0.0728782914202084,0.0011387106373361993
